,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y.1,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
0,0,1398,AAC Clyde Space,Satellite Systems,7.397,-8.298,0.169,107.01,868.62,-0.06865,512.213,53.459,-0.0661,-61.729,674.869,-0.0448,-0.15798,-0.28933,Sweden,First North,AAC,-9.484,2021-11-25,AAC.ST,-0.28933,,-11.141,3.497,0.759,0.7234999999999999,2022-01-28,Q3-2021,Technology,-0.0914681219614473,0.1231954134143814,-0.079218840190996,-1.4836929599375095,0.5208225342801145,0.4624792602759548,0.4893550639441454
1,1,2,AAK,Food Processing,43.56,99.353,1.282,7667.0,25197.0,0.15367,44708.789,18.874,0.12493,450.0,11097.0,-0.07809,-0.14803,0.10124,Sweden,Large Cap,AAK,23.802,2021-10-29,AAK.ST,0.10124,0.0133,31.86,1.384,4.029,0.13782,2022-01-28,Q3-2021,Food and Beverage,0.040551500405515,0.304282255824106,-0.0270321214497254,-1.818421948585204,0.175084917853261,0.1691385051489575,0.1362464227128216
2,2,3,ABB,Industrial Machinery,362.843,30.906,0.594,77422.797,334555.188,0.17058,646946.875,22.788,0.14362,20932.801,117188.398,0.1126399999999999,-0.0028499999999999,0.2603999999999999,Sweden,Large Cap,ABB,23.763,2021-10-22,ABB.ST,0.2603999999999999,0.02373,38.534,3.258,5.521,-0.10028,2022-01-28,Q3-2021,Industrials,0.178625199740336,0.2314201057913351,-0.074083412223036,-4.414413385210356,0.2110881149197186,0.1916139502366992,0.1538110795831151
3,3,437,Absolent Air Care,Installation,1.296,-255.094,0.957,392.235,1030.605,0.0939199999999999,5037.845,40.198,0.08084,-19.749,349.644,-0.07676,0.06971,0.06205,Sweden,First North,ABSO,91.421,2021-11-12,ABSO.ST,0.06205,0.00404,178.249,5.108,14.408,-0.1096,2022-01-28,Q3-2021,Industrials,-0.0564831657342897,0.3805871308600288,0.0375107431277972,0.8825117067138809,0.3472065076146335,0.3177714328498931,0.3895604295091934
4,4,1323,AcadeMedia,Education,13.838,2.444,0.76,11097.0,17897.0,0.08949,5649.133,35.783,0.1113599999999999,2311.0,5415.0,-0.07931,-0.34479,-0.32234,Sweden,Mid Cap,ACAD,6.034,2021-10-29,ACAD.ST,-0.32234,0.03277,9.311,0.415,1.043,0.06094,2022-01-28,Q1-2022,Industrials,0.4267774699907664,0.6200480527462703,0.0002565216980782,0.0063178310813349,0.3546334337077861,0.3064697837262728,0.3721309049603905
5,5,2198,Acast,Online Services,7.157,-15.471,0.51,343.383,1821.784,-1.08463,3333.333,69.175,-0.2013299999999999,-215.461,1505.824,-0.23061,-0.3824499999999999,-0.94076,Sweden,First North,ACAST,-10.346,2021-11-09,ACAST.ST,,,-11.251,3.588,2.214,,2022-01-28,Q3-2021,Technology,-0.1430851148607008,0.1884872191214765,0.0626078485692926,1.128278577162068,0.6326290781592205,0.5778620197335047,0.508571572614207
6,6,1572,Acconeer,Measuring & Analysis,9.697,-28.137,0.255,21.222,102.092,-1.16277,1461.375,67.206,-0.54659,-51.938,90.252,-0.1402999999999999,0.01133,1.21239,Sweden,First North,ACCON,-28.669,2021-10-29,ACCON.ST,1.21239,,-29.52,56.2,16.192,-0.28362,2022-01-28,Q3-2021,Industrials,-0.5754775517440057,0.2078713317399992,0.1192717811251109,1.8055487921270053,0.6918889410310097,0.6751657386224084,0.6054358294401379
7,7,2107,ACQ Bure SPAC,Investment Banking,4.43,630.625,,,3454.9,-0.00151,3531.5,10.953,-0.00137,5.6,3442.3,-0.01465,-0.03905,-0.94076,Sweden,Mid Cap,ACQ SPAC,-682.872,2021-10-22,ACQ-SPAC.ST,,,-751.863,,1.026,,2022-01-28,Q3-2021,Financials,0.0016268192778084,,-0.0236675883326518,-2.0215192975539797,0.1208889738839772,0.1049779882317153,0.1073039621067822
8,8,1015,AddLife,Biotechnology,69.774,-16.831,0.745,2684.0,10195.0,0.1975799999999999,31592.1,56.481,0.18585,-1877.0,4084.0,-0.27119,-0.07923,0.75749,Sweden,Large Cap,ALIF B,34.587,2021-10-22,ALIF-B.ST,0.75749,0.0058099999999999,40.302,4.161,7.736,1.83273,2022-01-28,Q3-2021,Health Care,-0.4595984329089128,0.2632663070132418,0.0151578277190684,0.2335993693039236,0.5270853348901976,0.4914071796569266,0.5947095927588572
9,9,7,Addnode,IT Consulting,15.709,-185.243,1.0,2214.0,3883.0,0.12179,11670.3,42.629,0.11928,-63.0,1660.0,-0.00573,-0.06089,0.30943,Sweden,Mid Cap,ANOD B,44.197,2021-10-29,ANOD-B.ST,0.30943,0.0072,58.759,3.005,7.03,0.07295,2022-01-28,Q3-2021,Technology,-0.0379518072289156,0.5701776976564512,0.0077094382887767,0.1511763921290946,0.3675235081370341,0.3151584422459008,0.4673889094236589
10,10,8,Addtech,Industrial Components,72.321,123.054,1.121,3831.0,11014.0,0.18518,45283.801,49.508,0.23772,368.0,3563.0,-0.18627,-0.03488,0.48214,Sweden,Large Cap,ADDT B,41.082,2021-10-28,ADDT-B.ST,0.48214,0.0072299999999999,52.784,3.668,12.709,0.15245,2022-01-28,Q2-2022,Industrials,0.103283749649172,0.3478300345015435,0.0721582949633983,1.866146378165076,0.3985353541952028,0.3615953514811171,0.3543889724383379
11,11,2288,Advanced SolTech,Solar Energy,2.389,-6.444,0.077,127.889,1480.212,0.055,1439.034,43.405,-0.13719,-223.319,311.892,-0.5971500000000001,-0.91048,-0.94076,Sweden,First North,ASAB,34.616,2021-11-30,ASAB.ST,,,-18.84,12.584,4.614,,2022-01-28,Q3-2021,Utilities,-0.7160138765983096,0.0863991103976997,-0.029839313926474,-0.1638979639622422,1.1400650949817577,0.9793355703346052,1.6686102920121575
12,12,420,Advenica,Security & Surveillance,0.618,-12.498,0.819,57.79,100.809,-0.6754399999999999,463.686,61.734,-1.00873,-37.101,25.894,0.04545,-0.23565,1.875,Sweden,First North,ADVE,-20.138,2021-10-29,ADVE.ST,1.875,,-16.057,5.613,17.907,0.19088,2022-01-28,Q3-2021,Technology,-1.4328029659380552,0.5732623079288556,-0.060069697039283,-0.8203498039204418,0.7375031224776766,0.6630660950310546,0.671113547757428
13,13,1938,AegirBio,Pharmaceuticals,64.905,-11.265,0.023,-4.029,509.338,-0.17157,599.41,202.943,-0.14253,-53.209,415.629,-0.41156,-0.91048,0.37302,Sweden,First North,AEGIR,-9.957,2021-11-23,AEGIR.ST,0.37302,,-9.832,50.515,1.442,,2022-01-28,Q3-2021,Health Care,-0.1280204220590959,-0.0079102678378601,-0.3420178031748874,-1.602940086738326,1.764561925139837,1.3612337735909643,1.9555596432311184
14,14,1700,Africa Energy,Oil & Gas -Exploration,2.877,-10.605,,-21.227,2092.359,-0.01853,2447.555,53.937,-0.01693,-230.785,2078.491,-0.13366,0.0479,-0.11437,Sweden,First North,AEC,-64.049,2021-11-10,AEC.ST,-0.11437,,-69.444,,1.178,1.3903100000000002,2022-01-28,Q3-2021,Energy,-0.1110348805936614,-0.0101450085764441,-0.0338336258892788,-0.8220107576585778,0.4330606973825271,0.3733147617105534,0.377233874929009
15,15,258,Africa Oil,Oil & Gas -Exploration,21.657,3.558,0.226,2213.971,8636.454,0.23592,6925.216,50.086,0.24858,1946.585,8030.7,0.0783399999999999,0.7452200000000001,0.96366,Sweden,Mid Cap,AOI,3.503,2021-11-15,AOI.ST,0.96366,,3.457,3.543,0.862,0.01258,2022-01-28,Q3-2021,Energy,0.2423929420847498,0.2563518545921741,0.0478438757501209,1.0413123792806225,0.3999850897946326,0.379417272882914,0.4210997324673239
16,16,241,AFRY,Business Consultants,42.394,83.104,0.809,7484.0,24111.0,0.10492,22936.75,28.879,0.11416,276.0,10528.0,-0.19984,-0.30616,-0.10984,Sweden,Large Cap,AFRY,16.856,2021-10-26,AFRY.ST,-0.10984,0.02468,19.096,1.176,2.179,0.03188,2022-01-28,Q3-2021,Industrials,0.0262158054711246,0.3103977437684044,-0.0792878056086567,-2.9990231163120025,0.2493023738557943,0.2276368041071838,0.242307149226264
17,17,1358,Alcadon Group,Electrical Components,6.961,67.286,0.914,71.5,701.0,0.13003,1836.9,49.021,0.12903,27.3,328.6,0.19693,1.12727,1.6819499999999998,Sweden,First North,ALCA,32.271,2021-10-22,ALCA.ST,1.6819499999999998,,39.326,2.866,5.59,0.44506,2022-01-28,Q3-2021,Industrials,0.0830797321972002,0.1019971469329529,0.0774710029613565,1.2670811544915996,0.4189925164162419,0.359570642837183,0.5603693717266445
18,18,10,Alfa Laval,Industrial Components,260.047,76.55,0.629,14189.0,63450.0,0.14701,129905.5,29.639,0.1277,1697.0,29963.0,-0.1645499999999999,-0.13492,0.36793,Sweden,Large Cap,ALFA,25.647,2021-10-26,ALFA.ST,0.36793,0.01776,33.644,3.255,4.336,-0.00788,2022-01-28,Q3-2021,Industrials,0.0566365183726596,0.2236249014972419,0.0507357319380575,2.3205263514070134,0.265727490940366,0.2440171914404467,0.2003858580654899
19,19,2146,Aligro Planet SPAC,Investment Banking,0.67,,,,,,1220.0,8.553,,,,0.0020499999999999,-0.0040799999999999,-0.94076,Sweden,Mid Cap,APAC SPAC A,,,APAC-SPAC-A.ST,,,,,,,2022-01-28,Q4-2020,Financials,,,-1.9563164613323192e-05,-0.0004130845878282,0.08553,0.3709897004338871,0.43405
20,20,739,Alimak,Installation,10.922,9.757,0.637,1209.6,5707.3,0.0876,5654.095,25.334,0.0713699999999999,579.5,3713.2,-0.11973,-0.2898,-0.25215,Sweden,Mid Cap,ALIG,15.635,2021-10-21,ALIG.ST,-0.25215,0.02874,21.337,1.556,1.523,-0.05223,2022-01-28,Q3-2021,Industrials,0.1560648497253043,0.2119390955443028,-0.0745300795425245,-2.9768394388514245,0.2581888189377296,0.2444290110266836,0.2294646641650765
21,21,1385,Alligator Bioscience,Biotechnology,1.501,-4.247,0.058,-73.281,131.822,-13.9675,531.61,67.45,-1.64017,-125.183,85.029,0.02991,-0.58874,-0.6315,Sweden,Small Cap,ATORX,-3.342,2021-10-22,ATORX.ST,-0.6315,,-1.48,69.094,6.252,-0.29729,2022-01-28,Q3-2021,Health Care,-1.472238883204554,-0.5559087254024366,0.0099743234986147,0.11283883072058,0.5867761984228215,0.4452043781438413,0.8101482822267893
22,22,1477,Alligo,Industrial Components,1.559,34.327,1.061,3553.0,8139.0,0.07817,10160.84,37.833,0.09554,296.0,3257.0,-0.06291,0.0572,0.39385,Sweden,Mid Cap,ALLIGO B,28.193,2021-10-29,ALLIGO-B.ST,0.39385,0.00752,32.192,1.177,3.12,1.39947,2022-01-28,Q3-2021,Industrials,0.0908811789990789,0.4365401154933038,0.0088423012521074,0.2067666160206832,0.4031963539604614,0.3752211736482399,0.3919444597510081
23,23,364,ALM Equity,Real Estate,1.244,-15.338,0.187,217.0,12802.0,0.00908,24356.92,39.973,0.03789,-1588.0,4856.0,0.27273,0.2098799999999999,0.44118,Sweden,First North,ALM,393.96,2021-11-25,ALM.ST,0.44118,0.00122,54.369,10.187,5.016,0.39031,2022-01-28,Q3-2021,Financials,-0.3270181219110379,0.0169504764880487,0.1059692825839573,3.551671961475644,0.3264724153567575,0.2851316462633373,0.2734555803849568
24,24,145,Amasten,Real Estate,138.371,-3.236,0.044,330.398,14624.0,0.0216299999999999,10017.01,24.805,0.0972,-3095.016,6379.0,0.21978,0.2333299999999999,0.66917,Sweden,First North,AMAST,63.147,2021-11-11,AMAST.ST,0.66917,,14.637,15.403,1.57,0.45847,2022-01-28,Q3-2021,Financials,-0.4851882740241417,0.0225928610503282,0.0207575624626694,0.6466293968620537,0.2562911286001753,0.2127952607561352,0.2942121149751858
25,25,1419,Ambea,Healthcare Facilities,17.33,4.374,0.693,9788.0,16247.0,0.06084,4863.365,37.941,0.08087,1112.0,4526.0,-0.15669,-0.17957,-0.25937,Sweden,Mid Cap,AMBEA,19.864,2021-11-04,AMBEA.ST,-0.25937,0.02237,13.263,0.432,1.075,0.1065199999999999,2022-01-28,Q3-2021,Health Care,0.2456915598762704,0.6024496830184034,0.1298598731566258,3.785570398780414,0.3279396086292205,0.2905202917691936,0.3144005451169637
26,26,2048,Annehem Fastigheter,Real Estate,1.467,-2.365,0.073,238.1,3954.0,0.04396,2032.309,27.191,0.09802,-859.2,2208.7,-0.0587399999999999,-0.0403899999999999,0.19204,Sweden,Mid Cap,ANNE B,20.835,2021-10-29,ANNE-B.ST,0.19204,,9.387,7.032,0.92,,2022-01-28,Q3-2021,Financials,-0.389007108253724,0.0602175012645422,0.0375582866886656,1.0885217497478887,0.3170250672801378,0.2939155843362316,0.3162338129918412
27,27,505,AQ Group,Industrial Components,3.052,30.018,1.143,2745.954,4577.0,0.16405,5415.024,38.571,0.14691,180.393,2515.0,0.0422499999999999,-0.06477,0.26767,Sweden,Mid Cap,AQ,12.309,2021-10-21,AQ.ST,0.26767,,14.592,1.035,2.153,0.17132,2022-01-28,Q3-2021,Industrials,0.0717268389662027,0.5999462530041513,-0.08241926371899,-2.42557034524828,0.3648053770036397,0.3339808390696194,0.3114257357694888
28,28,296,Arcane Crypto,Internet Transactions,3.373,-13.085,0.996,15.926,187.217,-0.17839,1063.213,78.955,-0.92176,-81.254,164.424,-0.41589,-0.45415,-0.35233,Sweden,First North,ARCANE,-48.254,2021-10-29,ARCANE.ST,-0.35233,,-7.022,5.699,6.466,39.72591,2022-01-28,Q3-2021,Technology,-0.4941735999610762,0.0850670612177312,0.065985216612515,0.7216937992889901,1.199797477230818,0.9783211859591512,0.8379793485071185
29,29,381,Arctic Paper,Forest & Wood Products,0.563,-85.602,1.382,1345.515,5121.378,0.11315,1423.868,45.337,0.07416,-16.633,1878.28,0.21742,0.36093,0.35644,Sweden,Small Cap,ARP,4.98,2021-05-19,ARP.ST,0.35644,0.0325499999999999,7.466,0.201,0.758,0.08134,2022-01-28,Q3-2021,Materials,-0.0088554422130885,0.2627251884160865,-0.0161959741720912,-0.3574240565176627,0.3924045362937861,0.3624885302139408,0.4153009639041484
30,30,1710,Arion Banki,Banks,2.107,-45.534,0.043,3631.878,109033.5,0.02691,21812.4,27.997,0.14302,-479.034,15760.98,-0.00755,0.21667,1.06929,Sweden,Large Cap,ARION SDB,7.842,2021-10-29,ARION-SDB.ST,1.06929,0.00861,10.106,4.667,1.384,0.08888,2022-01-28,Q3-2021,Financials,-0.0303936684140199,0.033309744252913,-0.0073565674571181,-0.2272880244594574,0.3222201401399022,0.3059623554135826,0.2966458730719963
31,31,14,Arise Windpower,Wind Energy,3.659,7.12,0.154,186.0,1470.0,0.04156,1844.153,51.677,0.00268,259.0,745.0,0.11958,0.11958,-0.045,Sweden,Small Cap,ARISE,48.067,2021-11-10,ARISE.ST,-0.045,,923.598,8.16,2.475,-0.05588,2022-01-28,Q3-2021,Utilities,0.3476510067114094,0.1265306122448979,0.0882232456422367,1.6064150835459754,0.4603994718068891,0.4415290027563786,0.5033440053585777
32,32,1574,Arjo,Medical Supplies,38.678,25.169,0.632,4167.0,14263.0,0.15273,24867.381,40.456,0.11268,988.0,6443.0,-0.29005,-0.10753,0.45963,Sweden,Large Cap,ARJO B,27.944,2021-10-28,ARJO-B.ST,0.45963,0.00931,34.254,2.759,3.86,-0.0017499999999999,2022-01-28,Q3-2021,Health Care,0.153344715194785,0.2921545256958564,-0.0070715364090353,-0.2440361791848844,0.3323602907095628,0.2914820696890399,0.265582349160529
33,33,2248,Arlandastad,Real Estate,0.502,-13.982,0.023,52.71,6576.71,0.14865,4061.035,43.405,0.16823,-290.454,4050.304,-0.04179,-0.91048,-0.94076,Sweden,First North,AGROUP,4.166,2021-11-18,AGROUP.ST,,,6.008,26.683,1.003,,2022-01-28,Q3-2021,Financials,-0.0717116542363239,0.0080146456206826,0.0808516057801637,2.660511075171236,0.2577029858977306,0.2258929194312191,0.2785243835321998
34,34,2197,Aros Bostadsutveckling,Real Estate,3.669,17.833,0.134,,977.35,0.26478,2603.553,29.517,0.15835,145.996,819.246,0.14095,0.06774,-0.94076,Sweden,First North,AROS,17.547,2021-11-26,AROS.ST,,,14.892,19.919,3.178,,2022-01-28,Q3-2021,Financials,0.1782077666537279,,0.0592460251749409,2.073932098083592,0.2555580661810455,0.2330200718699753,0.2618209103762886
35,35,1793,Ascelia Pharma,Pharmaceuticals,3.238,-11.594,,,365.044,-2.48153,869.586,35.841,-0.37122,-75.002,341.251,-0.10179,-0.30716,-0.45326,Sweden,Small Cap,ACE,-4.574,2021-11-04,ACE.ST,-0.45326,,-6.71,,2.548,0.26332,2022-01-28,Q3-2021,Health Care,-0.2197854365261933,,-0.0008425366988309,-0.0218091896273311,0.4188183812844633,0.3859094639474805,0.354069845248393
36,36,1473,Aspire Global,Gambling & Casinos,13.723,67.061,1.339,729.473,1593.131,0.42433,5008.565,70.456,0.31904,74.686,697.337,0.3865999999999999,0.73548,1.4482400000000002,Sweden,First North,ASPIRE,16.513,2021-11-04,ASPIRE.ST,1.4482400000000002,,22.131,2.347,7.182,0.3402199999999999,2022-01-28,Q3-2021,Consumer Durables,0.107101731300648,0.457886388501636,0.0200192801432723,0.4911176951356831,0.5277809219877093,0.4230550239029523,0.3735962581829867
37,37,17,Assa Abloy,Construction Supplies,400.842,21.295,0.728,36360.0,127264.0,0.13632,274027.5,24.013,0.13873,12868.0,67214.0,-0.0151899999999999,-0.11467,0.15525,Sweden,Large Cap,ASSA B,24.418,2021-10-27,ASSA-B.ST,0.15525,0.01583,29.336,2.957,4.077,-0.00884,2022-01-28,Q3-2021,Industrials,0.1914482101943047,0.2857053055066633,0.0109540236874496,0.5134019744116645,0.2176296168517552,0.2036792457712689,0.1955490832289912
38,38,18,AstraZeneca,Pharmaceuticals,563.584,-55.645,0.306,198162.797,904945.188,0.03706,1720765.0,24.9,0.03686,-30924.16,335439.406,0.03872,0.1225,0.25053,Sweden,Large Cap,AZN,80.703,2021-11-12,AZN.ST,0.25053,0.01419,133.825,6.213,5.13,0.6724,2022-01-28,Q3-2021,Health Care,-0.0921900034607144,0.2189776791210474,-0.0683136184207318,-2.8528782214357946,0.2212303602068276,0.203521617357783,0.2194642063983932
39,39,19,Atlas Copco A,Industrial Machinery,606.086,38.077,0.811,46529.0,136683.0,0.3064,648497.875,31.29,0.26806,17031.0,67633.0,-0.04353,-0.09413,0.14057,Sweden,Large Cap,ATCO A,27.873,2022-01-25,ATCO-A.ST,0.14057,0.01441,35.423,5.847,9.588,0.20568,2022-01-28,Q4-2021,Industrials,0.2518149424097703,0.3404154137676229,-0.0463433369484064,-1.4872416176805583,0.2603439723493261,0.2434947212088151,0.285591590496402
40,40,20,Atrium Ljungberg,Real Estate,19.227,-100.503,0.059,1627.0,52183.0,0.03035,26231.211,28.659,0.12469,-261.0,24124.0,-0.01747,-0.07818,0.20946,Sweden,Large Cap,ATRLJ B,29.884,2021-10-15,ATRLJ-B.ST,0.20946,0.02565,8.293,8.567,1.087,0.07798,2022-01-28,Q3-2021,Financials,-0.0108191013098988,0.0311787363700822,-0.0261578323898595,-1.0936402887628425,0.2478632308540671,0.2402426525657225,0.219213297414454
41,41,920,Attendo,Healthcare Facilities,13.066,5.692,0.607,4154.0,20747.0,0.0435,5219.255,27.53,0.0139199999999999,917.0,4957.0,-0.13437,-0.2233399999999999,-0.29939,Sweden,Mid Cap,ATT,24.452,2021-10-26,ATT.ST,-0.29939,,75.42,0.414,1.053,-0.00945,2022-01-28,Q3-2021,Health Care,0.1849909219285858,0.2002217188027184,0.0032645486393789,0.1589819901456636,0.2758956260526998,0.2466754582238117,0.1881979365853005
42,42,21,Autoliv,Auto & Equipment,200.398,31.138,1.092,12677.29,63235.43,0.14967,78373.758,28.738,0.16427,2517.0,22090.869,0.07466,0.0618299999999999,0.1848699999999999,Sweden,Large Cap,ALIV SDB,15.398,2022-01-28,ALIV-SDB.ST,0.1848699999999999,0.02414,21.474,1.135,3.548,-0.18481,2022-01-28,Q4-2021,Consumer Durables,0.1139384783821768,0.2004776436247844,-0.0128542262851762,-0.3806582863962869,0.2732724065309361,0.2574840901612518,0.3094926187451359
43,43,22,Avanza Bank,Retail & Mortgage Banks,134.127,22.916,0.012,2548.0,279082.0,0.00873,43746.852,33.221,0.43553,1909.0,4700.0,-0.18658,0.04458,0.24867,Sweden,Large Cap,AZA,17.951,2022-01-20,AZA.ST,0.24867,0.03272,21.313,13.253,9.308,0.3628699999999999,2022-01-28,Q4-2021,Financials,0.4061702127659574,0.0091299331379307,0.0256420398541135,0.7021667457003663,0.3496702388613259,0.3405096909362379,0.3346971052790154
44,44,1557,Awardit,Advertising,4.793,-70.368,0.563,127.136,688.935,0.07446,2375.76,52.343,0.05717,-33.762,282.245,0.27232,1.08029,1.96258,Sweden,First North,AWRD,74.895,2021-11-12,AWRD.ST,1.96258,0.00786,133.84,6.12,8.417,1.5041,2022-01-28,Q3-2021,Consumer Durables,-0.1196194795301954,0.1845399057966281,0.1293351665669384,2.1524117491382,0.4635637355390465,0.4091999581543751,0.5507200850859717
45,45,24,Axfood,Food Retail,79.339,15.442,2.664,8769.0,20444.0,0.31355,49676.461,16.721,0.43254,3217.0,4310.0,0.12447,0.01675,0.1467999999999999,Sweden,Large Cap,AXFO,21.793,2021-10-21,AXFO.ST,0.1467999999999999,0.03169,25.32,0.912,11.526,0.1629799999999999,2022-01-28,Q3-2021,Food and Beverage,0.7464037122969838,0.4289278027783212,0.0140724148053299,1.0188042066431022,0.1502925288372945,0.1400361982164108,0.1265952881539927
46,46,1769,Azelio,Renewable Energy,12.727,-6.924,0.001,105.261,1280.351,-0.58664,1931.67,85.818,-0.27803,-278.982,1100.942,-0.27269,-0.54676,-0.70285,Sweden,First North,AZELIO,-4.382,2021-11-19,AZELIO.ST,-0.70285,,-6.264,1230.363,1.755,0.33486,2022-01-28,Q3-2021,Utilities,-0.2534029948898307,0.0822126120103002,-0.0774809669006534,-0.7828245643127415,0.780585326466981,0.6883315965633638,0.9071314619574548
47,47,1313,B3 Consulting,IT Consulting,1.083,17.287,1.746,251.7,499.3,0.27813,689.752,44.501,0.16537,39.9,154.8,0.17889,0.391,0.8149,Sweden,Small Cap,B3,15.915,2021-11-09,B3.ST,0.8149,0.01119,26.413,0.791,4.456,-0.0475,2022-01-28,Q3-2021,Technology,0.2577519379844961,0.5041057480472662,0.1177370033279017,2.9090231074675774,0.4419199054709972,0.4022199673747242,0.3709415222329172
48,48,377,Bactiguard,Medical Equipment,1.455,527.171,0.218,89.687,864.528,-0.06373,5011.292,36.339,-0.07569,9.506,565.286,-0.13228,-0.23036,-0.08039,Sweden,Mid Cap,BACTI B,-136.521,2021-10-28,BACTI-B.ST,-0.08039,,-112.113,26.577,8.865,0.23773,2022-01-28,Q3-2021,Health Care,0.0168162664562716,0.1037410008698388,0.0564975754087846,1.266712546349563,0.3523391499244804,0.3320282050341778,0.4087816397466767
49,49,1517,Balco Group,Construction Supplies,7.774,-33.148,0.827,260.4,1287.5,0.09522,2804.352,37.4,0.0839,-84.6,661.5,0.04405,0.14901,0.40969,Sweden,Mid Cap,BALCO,35.815,2021-11-18,BALCO.ST,0.40969,,50.529,2.632,4.239,0.06944,2022-01-28,Q3-2021,Industrials,-0.127891156462585,0.202252427184466,0.0672704684997419,1.769066065321463,0.3518170718229546,0.3211187195978079,0.3485138514362862
50,50,1450,Bambuser,Online Services,9.219,-10.082,0.11,-56.989,902.462,-0.73123,2674.647,72.415,-0.24749,-265.284,806.813,-0.35465,-0.19199,-0.3164,Sweden,First North,BUSER,-10.546,2021-11-08,BUSER.ST,-0.3164,,-10.669,26.928,3.315,1.3749700000000002,2022-01-28,Q3-2021,Technology,-0.3288048159858604,-0.0631483652497279,-0.0220498759183446,-0.2468966650680708,0.7103794992441411,0.6317752758566142,0.8185224003113966
51,51,27,BE Group,Industrial Components,4.985,232.321,1.735,1102.0,3105.0,0.29827,1626.25,57.051,0.3503199999999999,7.0,1413.0,0.19617,0.52439,2.04878,Sweden,Small Cap,BEGR,3.007,2022-01-27,BEGR.ST,2.04878,0.096,3.279,0.302,1.151,0.28412,2022-01-28,Q4-2021,Industrials,0.0049539985845718,0.3549114331723027,0.1209975820471807,2.281945917477926,0.4990913127105997,0.4288806142779131,0.4859717089620281
52,52,29,Beijer Alma,Industrial Components,12.803,-60.895,0.822,1650.6,6119.0,0.2027199999999999,13920.52,40.442,0.21466,-228.6,2678.2,-0.00645,0.14925,0.71875,Sweden,Mid Cap,BEIA B,19.666,2021-10-27,BEIA-B.ST,0.71875,0.01299,24.214,2.766,5.198,0.27029,2022-01-28,Q3-2021,Industrials,-0.0853558360092599,0.2697499591436509,0.094691374294197,2.731175006685541,0.3421617179172161,0.3228817936108453,0.3177609558525922
53,53,30,Beijer Electronics,Computer Hardware,1.491,-19.54,0.757,,2139.075,0.05316,1823.976,58.171,0.04875,-93.348,729.196,-0.19643,0.2426,0.46512,Sweden,Mid Cap,BELE,38.603,2022-01-27,BELE.ST,0.46512,0.00794,50.388,1.127,2.501,0.13544,2022-01-28,Q4-2021,Technology,-0.1280149644265739,,-0.034991916232027,-0.6499188964937107,0.4825657699862721,0.4458360680891507,0.4934557395081665
54,54,28,Beijer Ref,Installation,61.636,-102.872,1.105,,15300.0,0.14462,59562.961,43.972,0.18591,-579.0,5266.0,-0.12324,-0.11828,0.29187,Sweden,Large Cap,BEIJ B,47.133,2022-01-27,BEIJ-B.ST,0.29187,0.0070599999999999,60.843,3.523,11.311,0.34116,2022-01-28,Q4-2021,Industrials,-0.1099506266616027,,0.004098758819478,0.0813283957082491,0.3474534340780132,0.3253303906784766,0.4619019564336736
55,55,26,Bergman & Beving,Industrial Components,4.39,139.375,0.884,1852.0,4988.0,0.08105,3484.372,38.473,0.10514,25.0,1716.0,-0.1774599999999999,-0.22655,0.25992,Sweden,Mid Cap,BERG B,15.773,2021-10-20,BERG-B.ST,0.25992,0.02362,18.497,0.79,2.031,0.04988,2022-01-28,Q2-2022,Industrials,0.0145687645687645,0.3712910986367281,-0.0778337322992245,-2.047931992142713,0.3758441889235268,0.3646507332444588,0.348330873535443
56,56,31,Bergs Timber,Forest & Wood Products,4.628,-11.488,1.204,1203.0,2345.0,0.27198,1723.238,38.451,0.24491,-150.0,1523.0,-0.07963,-0.03682,0.57278,Sweden,Small Cap,BRG B,4.96,2021-10-28,BRG-B.ST,0.57278,0.04024,4.62,0.61,1.131,0.32411,2022-01-28,Q3-2021,Materials,-0.0984898227183191,0.5130063965884861,0.004112093963501,0.0979430129022474,0.5138705621321996,0.4673754003280683,0.3847948167843699
57,57,32,Betsson,Gambling & Casinos,38.986,7.147,0.756,4442.2,9053.6,0.29044,7179.319,42.72,0.20973,1004.5,5592.0,-0.16027,-0.2773,-0.3676899999999999,Sweden,Mid Cap,BETS B,5.469,2021-10-26,BETS-B.ST,-0.3676899999999999,0.07316,5.863,1.05,1.284,0.1058,2022-01-28,Q3-2021,Consumer Durables,0.1796316165951359,0.4906556507908456,0.0113386991528997,0.2394312417667893,0.3758699743951324,0.3463774170001496,0.4340323072884973
58,58,1694,Better Collective,Gambling & Casinos,20.016,-4.969,0.284,1029.654,5726.975,0.1121,10352.66,55.835,0.04259,-2083.511,3449.717,0.02609,-0.06995,-0.01667,Sweden,Mid Cap,BETCO,23.829,2021-11-17,BETCO.ST,-0.01667,,69.892,6.355,3.001,0.84706,2022-01-28,Q3-2021,Consumer Durables,-0.6039657745838282,0.1797902033796201,-0.0093006936011174,-0.1694465326283422,0.5350507906098215,0.4701225755310357,0.5030629046413777
