,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,1398,AAC Clyde Space,Satellite Systems,1.491,-7.326,0.204,127.591,880.341,-0.059160000000000004,419.355,48.992,-0.05817,-57.241,678.809,-0.1963,-0.20074000000000003,-0.14398,Sweden,First North,AAC,-8.632,2022-02-17,AAC.ST,,-10.246,2.33,0.618,0.38364,2022-04-22,Q4-2021,Technology,-0.08432563504608807,0.14493361095302842,-0.06641112048921449,-0.9814305467326098,0.5218923819926986,0.45560362326950826,0.6201844595969638,1.4569639570308213,6.10971142262617,1.5498417296582387
1,2,AAK,Food Processing,51.51,-329.47,1.305,7941.0,27166.0,0.14911,46784.801,21.954,0.12146000000000001,-142.0,11783.0,-0.021629999999999996,-0.03313,-0.07395,Sweden,Large Cap,AAK,24.223,2022-02-04,AAK.ST,0.013819999999999999,32.29,1.32,3.971,0.21941,2022-04-22,Q4-2021,Food and Beverage,-0.012051260290248663,0.29231392181403226,0.021856825249245038,0.9288701322311859,0.190714228196271,0.1870928508141202,0.2156610546094264,0.3524077695105552,-1.7998148398770812,-0.24379421826984207
2,3,ABB,Industrial Machinery,379.138,16.342,0.563,79632.0,355076.406,0.30094,622514.5,25.537,0.34536,38094.0,111274.797,-0.10056,0.06873,0.13356,Sweden,Large Cap,ABB,13.306,2022-04-21,ABB.ST,0.02476,14.837,3.116,5.594,0.04162,2022-04-22,Q1-2022,Industrials,0.34234167149278194,0.22426722433368326,0.018309595519226396,0.6547839985989569,0.21925240205687888,0.20372754647261776,0.25628331660642667,0.9267910444665696,1.8300546827864002,2.840797547487814
3,1323,AcadeMedia,Education,12.844,2.382,0.761,11382.0,18330.0,0.09407,5982.594,35.98,0.12074,2512.0,5425.0,0.07714,-0.011359999999999999,-0.3558,Sweden,Mid Cap,ACAD,5.763,2022-02-01,ACAD.ST,0.030950000000000002,9.077,0.429,1.103,0.056420000000000005,2022-04-22,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.003969102103709599,0.12099980128915148,0.37454841329787775,0.3262121612113167,0.3006403421736603,0.8273861106754978,-3.589986752976494,0.7268611479763415
4,2198,Acast,Online Services,10.787,-21.868,0.55,373.476,1864.981,-1.36358,3102.77,70.388,-0.20096,-141.889,1494.808,-0.10331,-0.36034999999999995,-0.93354,Sweden,First North,ACAST,-8.055,2022-02-11,ACAST.ST,,-10.569,3.025,2.076,1.7121600000000001,2022-04-22,Q4-2021,Technology,-0.09492122065174927,0.20025726803651084,-0.003922660723904459,-0.043885942480142666,0.6311821180464506,0.57982105541261,0.8192094633062108,,-0.876824585217766,0.230989931647533
5,1572,Acconeer,Measuring & Analysis,7.266,-26.338,0.168,27.989,201.113,-0.98277,1589.558,71.731,-0.28632,-60.352,185.606,-0.11079,-0.18577000000000002,0.55864,Sweden,First North,ACCON,-27.481,2022-04-22,ACCON.ST,,-29.82,47.122,8.564,0.69293,2022-04-22,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.03422239335690369,-0.4006861844927757,0.6963517021113617,0.6734096399769852,0.7827906930162333,1.7550078836370582,2.0608958131168147,-0.49780393818260626
6,1015,AddLife,Biotechnology,71.813,-15.712,0.754,2857.0,10596.0,0.18655000000000002,30906.381,70.738,0.16756000000000001,-1967.0,4291.0,-0.09534000000000001,-0.26968,0.24462,Sweden,Large Cap,ALIF B,34.916,2022-02-04,ALIF-B.ST,0.00792,41.921,3.867,7.203,1.5532499999999998,2022-04-22,Q4-2021,Health Care,-0.45840130505709625,0.26963004907512267,-0.21705556604558052,-3.3679177597955934,0.6206513761954094,0.5277859101673216,0.5906756829333794,1.1376158220072348,-1.8469867960287984,-2.6600453366494667
7,7,Addnode,IT Consulting,29.872,348.824,0.943,2309.0,4322.0,0.13997,13604.14,45.676,0.13172,39.0,1693.0,0.09029999999999999,0.12989,0.43738999999999995,Sweden,Mid Cap,ANOD B,45.81,2022-02-04,ANOD-B.ST,0.0074199999999999995,60.817,3.337,8.036,0.13201000000000002,2022-04-22,Q4-2021,Technology,0.02303603071470762,0.534243405830634,0.05203771237512522,1.0350978285054537,0.4077388204969497,0.3665963345772341,0.46076177417098146,1.1599021541003454,2.163907738955723,2.014559878237628
8,8,Addtech,Industrial Components,62.996,174.762,1.153,4023.0,11321.0,0.20126999999999998,49457.551,50.607,0.23887,283.0,3952.0,0.03011,0.00722,0.23311,Sweden,Large Cap,ADDT B,39.895,2022-02-08,ADDT-B.ST,0.00662,52.393,3.79,12.515,0.20912,2022-04-22,Q3-2022,Industrials,0.07160931174089069,0.3553573005918205,0.012558188795886327,0.23614960567679202,0.42738925033653075,0.394992071516984,0.48739315556986457,1.422726103925666,0.2720033030349227,-0.2325309579629289
9,2288,Advanced SolTech,Solar Energy,0.868,-7.144,0.067,125.175,1752.905,0.04559,1391.828,71.157,0.03212,-194.818,499.455,-0.08086,-0.8330299999999999,-0.93354,Sweden,First North,ASAB,36.093,2022-02-24,ASAB.ST,,53.564,11.86,2.787,0.39446,2022-04-22,Q4-2021,Utilities,-0.3900611666716722,0.07141003077748082,0.04680996930573078,0.5919598825294119,0.9777604812546832,0.8582734332800906,0.7247458280634844,,-0.876824585217766,0.230989931647533
10,420,Advenica,Security & Surveillance,0.886,-14.952,0.798,71.909,126.864,-0.47487,576.95,73.963,-0.43004,-38.586,39.571,0.20153,0.11631,1.28116,Sweden,First North,ADVE,-37.654,2022-02-17,ADVE.ST,,-33.908,5.698,14.58,0.26457,2022-04-22,Q4-2021,Technology,-0.9751080336610144,0.5668195863286669,-0.04841748136403545,-0.7050385024561575,0.7719537678954531,0.7165095530315011,0.6294032809182745,0.9379174128742568,2.9006257819134076,1.1184459968083225
11,1700,Africa Energy,Oil & Gas -Exploration,3.836,-36.015,,-22.437,2324.988,0.08471000000000001,2832.171,37.318,0.0812,-78.639,2310.398,0.20248999999999998,-0.03571,0.125,Sweden,First North,AEC,14.585,2022-03-25,AEC.ST,,15.067,,1.226,0.09509000000000001,2022-04-22,Q4-2021,Energy,-0.03403699276055467,-0.009650372389018783,-0.00800381616689494,-0.18896278490748372,0.4331452864992604,0.37729618814235266,0.38820441232663866,1.4491704978945106,2.1249889956059915,1.3709385096341988
12,258,Africa Oil,Oil & Gas -Exploration,69.032,5.033,0.226,2041.911,8924.562,0.22576000000000002,8039.826,59.372,0.20117000000000002,1597.446,8532.522,0.20875,0.22100999999999998,1.15038,Sweden,Mid Cap,AOI,3.995,2022-02-08,AOI.ST,0.01329,4.646,3.981,0.942,0.08909,2022-04-22,Q4-2021,Energy,0.18721850350927893,0.22879677456439879,-0.011082785952162721,-0.18988579442967002,0.49345632759516483,0.4521078312869721,0.5349289628465566,0.5826199799993439,3.5113296187921534,0.8322555063875053
13,241,AFRY,Business Consultants,45.774,70.892,0.776,7838.0,25913.0,0.09580999999999999,20204.16,34.578,0.1027,285.0,10992.0,-0.16791,-0.38354999999999995,-0.36013,Sweden,Large Cap,AFRY,15.607,2022-02-04,AFRY.ST,0.030830000000000003,17.902,1.005,1.838,0.09754,2022-04-22,Q4-2021,Industrials,0.025927947598253277,0.3024736618685602,-0.045119084495010675,-1.4964336661097886,0.285343883286808,0.26745125979554285,0.27633917181642104,1.5738063184958166,-5.535282757223757,-3.8509286149597677
14,1358,Alcadon Group,Electrical Components,3.285,-143.372,0.944,76.8,817.3,0.12902,1548.412,54.442,0.09791,-10.8,478.7,-0.13106,-0.05396,1.06771,Sweden,First North,ALCA,24.26,2022-04-22,ALCA.ST,0.00634,32.656,2.007,3.235,0.34027999999999997,2022-04-22,Q1-2022,Industrials,-0.022561102987257158,0.09396794322770097,0.04897656667460204,0.8282283348243552,0.4882811056776715,0.4387458121811396,0.5419733052552782,1.6046680775892526,4.470861740534342,0.8828255340980937
15,10,Alfa Laval,Industrial Components,315.698,558.807,0.636,14510.0,64361.0,0.16241,133554.797,34.097,0.14714,239.0,32096.0,-0.00094,-0.0649,0.18567,Sweden,Large Cap,ALFA,22.948,2022-02-02,ALFA.ST,0.01884,27.968,3.265,4.161,0.05753,2022-04-22,Q4-2021,Industrials,0.007446410767696909,0.22544708752194653,-0.024771892410195506,-0.7390790090144079,0.29238485755179444,0.26837945883920067,0.30719062696261745,1.327262795173623,3.389665099682173,0.230989931647533
16,739,Alimak,Installation,12.632,10.53,0.632,1271.5,5901.7,0.09939,5708.253,29.601,0.08007,542.1,3840.4,-0.01311,-0.13888999999999999,-0.27144999999999997,Sweden,Mid Cap,ALIG,13.493,2022-02-10,ALIG.ST,0.03131,18.564,1.531,1.486,0.05024,2022-04-22,Q4-2021,Industrials,0.1411571711280075,0.21544639680092179,0.07083565040853945,2.5764710362864855,0.2673783074455195,0.24889915551465308,0.2519801118093899,1.2064243970490385,-0.30768728226292114,2.303366100990032
17,1477,Alligo,Industrial Components,3.787,10.011,0.976,3521.0,8679.0,0.0755,5986.545,71.015,0.08439999999999999,598.0,3429.0,-0.43597,-0.48646,-0.33324,Sweden,Mid Cap,ALLIGO B,19.341,2022-02-15,ALLIGO-B.ST,0.014879999999999999,20.401,0.706,1.746,0.45866,2022-04-22,Q4-2021,Industrials,0.17439486730825313,0.40569189998847793,-0.017845236691928945,-0.42612926755353475,0.5726505272251069,0.4554951747208464,0.38381380563067785,1.320401763107856,-2.979869580110459,-3.0978215575605588
18,1419,Ambea,Healthcare Facilities,14.735,5.035,0.688,9849.0,16674.0,0.048470000000000006,4782.94,38.51,0.052320000000000005,950.0,4530.0,-0.07755,-0.18138,-0.30511,Sweden,Mid Cap,AMBEA,24.421,2022-02-09,AMBEA.ST,0.02275,20.143,0.417,1.056,0.1329,2022-04-22,Q4-2021,Health Care,0.2097130242825607,0.5906801007556675,-0.057455943259034026,-1.4244196194597705,0.36933023292501416,0.3346894236106397,0.36968910777776237,1.3855740556357543,-1.6255132766075437,1.386254907845037
